iter	Passed	Remaining
0	1	118
1	2	109
2	3	105
3	4	98
4	5	101
5	6	100
6	7	100
7	8	99
8	9	98
9	10	97
10	11	96
11	12	95
12	14	94
13	15	93
14	16	91
15	17	90
16	18	89
17	19	88
18	20	87
19	21	85
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
